print_page,year,word_count,gender,,,,,,,,,,,,,,,,,
16,1996,518,male,,,,,,,,,,,,,,,,,
32,1996,389,female,,,,,,,,,,,,,,,,,
11,1996,733,male,,,,,,,,,,,,,,,,,
29,1996,437,male,,,,,,,,,,,,,,,,,
23,1996,384,female,,,,,,,,,,,,,,,,,
5,1996,499,male,,,,,,,,,,,,,,,,,
8,1996,251,male,,,,,,,,,,,,,,,,,
39,1996,201,male,,,,,,,,,,,,,,,,,
31,1996,123,male,,,,,,,,,,,,,,,,,
15,1996,234,male,,,,,,,,,,,,,,,,,
8,1996,462,male,,,,,,,,,,,,,,,,,
7,1996,212,male,,,,,,,,,,,,,,,,,
32,1996,165,female,,,,,,,,,,,,,,,,,
27,1996,458,male,,,,,,,,,,,,,,,,,
52,1996,876,female,,,,,,,,,,,,,,,,,
46,1996,188,male,,,,,,,,,,,,,,,,,
13,1996,510,male,,,,,,,,,,,,,,,,,
46,1996,223,female,,,,,,,,,,,,,,,,,
30,1996,325,male,,,,,,,,,,,,,,,,,
26,1996,1719,male,,,,,,,,,,,,,,,,,
44,1996,463,female,,,,,,,,,,,,,,,,,
7,1996,242,male,,,,,,,,,,,,,,,,,
22,1996,393,male,,,,,,,,,,,,,,,,,
10,1996,588,male,,,,,,,,,,,,,,,,,
63,1996,504,male,,,,,,,,,,,,,,,,,
25,1996,141,male,,,,,,,,,,,,,,,,,
25,1996,244,male,,,,,,,,,,,,,,,,,
47,1996,130,female,,,,,,,,,,,,,,,,,
21,1996,520,female,,,,,,,,,,,,,,,,,
13,1996,814,male,,,,,,,,,,,,,,,,,
18,1996,545,male,,,,,,,,,,,,,,,,,
42,1996,240,female,,,,,,,,,,,,,,,,,
32,1996,1087,male,,,,,,,,,,,,,,,,,
10,1996,542,female,,,,,,,,,,,,,,,,,
10,1996,317,female,,,,,,,,,,,,,,,,,
19,1996,342,male,,,,,,,,,,,,,,,,,
30,1996,869,male,,,,,,,,,,,,,,,,,
17,1996,951,male,,,,,,,,,,,,,,,,,
16,1996,463,male,,,,,,,,,,,,,,,,,
1,1996,2214,male,,,,,,,,,,,,,,,,,
44,1996,349,male,,,,,,,,,,,,,,,,,
7,1996,155,male,,,,,,,,,,,,,,,,,
42,1996,110,female,,,,,,,,,,,,,,,,,
10,1996,151,male,,,,,,,,,,,,,,,,,
19,1996,579,male,,,,,,,,,,,,,,,,,
40,1996,191,male,,,,,,,,,,,,,,,,,
40,1996,227,male,,,,,,,,,,,,,,,,,
21,1996,394,male,,,,,,,,,,,,,,,,,
12,1996,672,male,,,,,,,,,,,,,,,,,
7,1996,504,male,,,,,,,,,,,,,,,,,
9,1996,767,female,,,,,,,,,,,,,,,,,
43,1996,322,male,,,,,,,,,,,,,,,,,
10,1996,156,male,,,,,,,,,,,,,,,,,
1,1996,2456,male,,,,,,,,,,,,,,,,,
10,1996,231,female,,,,,,,,,,,,,,,,,
22,1996,305,male,,,,,,,,,,,,,,,,,
32,1996,357,female,,,,,,,,,,,,,,,,,
32,1996,324,male,,,,,,,,,,,,,,,,,
8,1996,595,female,,,,,,,,,,,,,,,,,
20,1996,197,female,,,,,,,,,,,,,,,,,
15,1996,221,female,,,,,,,,,,,,,,,,,
21,1996,836,male,,,,,,,,,,,,,,,,,
32,1996,104,female,,,,,,,,,,,,,,,,,
7,1996,337,male,,,,,,,,,,,,,,,,,
17,1996,374,male,,,,,,,,,,,,,,,,,
10,1996,529,male,,,,,,,,,,,,,,,,,
10,1996,155,male,,,,,,,,,,,,,,,,,
8,1996,269,male,,,,,,,,,,,,,,,,,
27,1996,141,male,,,,,,,,,,,,,,,,,
10,1996,782,male,,,,,,,,,,,,,,,,,
49,1996,164,male,,,,,,,,,,,,,,,,,
23,1996,605,male,,,,,,,,,,,,,,,,,
19,1996,241,female,,,,,,,,,,,,,,,,,
63,1996,132,male,,,,,,,,,,,,,,,,,
6,1996,251,male,,,,,,,,,,,,,,,,,
20,1996,657,male,,,,,,,,,,,,,,,,,
7,1996,580,male,,,,,,,,,,,,,,,,,
10,1996,359,male,,,,,,,,,,,,,,,,,
10,1996,123,male,,,,,,,,,,,,,,,,,
12,1996,529,female,,,,,,,,,,,,,,,,,
7,1996,1786,male,,,,,,,,,,,,,,,,,
50,1996,390,male,,,,,,,,,,,,,,,,,
41,1996,237,male,,,,,,,,,,,,,,,,,
8,1996,372,male,,,,,,,,,,,,,,,,,
23,1996,573,male,,,,,,,,,,,,,,,,,
34,1996,613,male,,,,,,,,,,,,,,,,,
8,1996,556,male,,,,,,,,,,,,,,,,,
18,1996,416,male,,,,,,,,,,,,,,,,,
16,1996,314,male,,,,,,,,,,,,,,,,,
8,1996,310,male,,,,,,,,,,,,,,,,,
8,1996,286,male,,,,,,,,,,,,,,,,,
8,1996,484,male,,,,,,,,,,,,,,,,,
9,1996,890,male,,,,,,,,,,,,,,,,,
21,1996,197,male,,,,,,,,,,,,,,,,,
41,1996,600,female,,,,,,,,,,,,,,,,,
20,1996,290,male,,,,,,,,,,,,,,,,,
21,1996,97,female,,,,,,,,,,,,,,,,,
20,1996,522,male,,,,,,,,,,,,,,,,,
52,1996,770,male,,,,,,,,,,,,,,,,,
20,1996,316,male,,,,,,,,,,,,,,,,,
48,1996,980,male,,,,,,,,,,,,,,,,,
48,1996,447,male,,,,,,,,,,,,,,,,,
10,1996,539,male,,,,,,,,,,,,,,,,,
52,1996,529,male,,,,,,,,,,,,,,,,,
41,1996,221,male,,,,,,,,,,,,,,,,,
21,1996,701,female,,,,,,,,,,,,,,,,,
24,1996,523,male,,,,,,,,,,,,,,,,,
20,1996,562,female,,,,,,,,,,,,,,,,,
44,1996,200,male,,,,,,,,,,,,,,,,,
42,1996,121,male,,,,,,,,,,,,,,,,,
45,1996,170,male,,,,,,,,,,,,,,,,,
20,1996,535,male,,,,,,,,,,,,,,,,,
21,1996,660,male,,,,,,,,,,,,,,,,,
10,1996,229,male,,,,,,,,,,,,,,,,,
45,1996,158,male,,,,,,,,,,,,,,,,,
7,1996,342,male,,,,,,,,,,,,,,,,,
18,1996,352,male,,,,,,,,,,,,,,,,,
52,1996,514,male,,,,,,,,,,,,,,,,,
43,1996,126,male,,,,,,,,,,,,,,,,,
14,1996,426,female,,,,,,,,,,,,,,,,,
19,1996,319,male,,,,,,,,,,,,,,,,,
12,1996,179,male,,,,,,,,,,,,,,,,,
10,1996,207,male,,,,,,,,,,,,,,,,,
13,1996,419,female,,,,,,,,,,,,,,,,,
7,1996,735,female,,,,,,,,,,,,,,,,,
14,1996,144,male,,,,,,,,,,,,,,,,,
46,1996,220,male,,,,,,,,,,,,,,,,,
41,1996,164,male,,,,,,,,,,,,,,,,,
26,1996,439,male,,,,,,,,,,,,,,,,,
48,1996,394,male,,,,,,,,,,,,,,,,,
5,1996,152,female,,,,,,,,,,,,,,,,,
44,1996,309,female,,,,,,,,,,,,,,,,,
10,1996,456,male,,,,,,,,,,,,,,,,,
10,1996,239,male,,,,,,,,,,,,,,,,,
26,1996,616,male,,,,,,,,,,,,,,,,,
14,1996,285,male,,,,,,,,,,,,,,,,,
34,1996,391,male,,,,,,,,,,,,,,,,,
31,1996,746,male,,,,,,,,,,,,,,,,,
12,1996,137,male,,,,,,,,,,,,,,,,,
38,1996,437,male,,,,,,,,,,,,,,,,,
10,1996,275,male,,,,,,,,,,,,,,,,,
42,1996,446,male,,,,,,,,,,,,,,,,,
19,1996,167,male,,,,,,,,,,,,,,,,,
12,1996,882,male,,,,,,,,,,,,,,,,,
7,1996,404,male,,,,,,,,,,,,,,,,,
17,1996,980,male,,,,,,,,,,,,,,,,,
12,1996,813,male,,,,,,,,,,,,,,,,,
37,1996,188,male,,,,,,,,,,,,,,,,,
38,1996,215,male,,,,,,,,,,,,,,,,,
42,1996,226,male,,,,,,,,,,,,,,,,,
8,1996,577,male,,,,,,,,,,,,,,,,,
10,1996,391,male,,,,,,,,,,,,,,,,,
1,1996,2653,male,,,,,,,,,,,,,,,,,
8,1996,741,female,,,,,,,,,,,,,,,,,
46,1996,527,male,,,,,,,,,,,,,,,,,
45,1996,291,male,,,,,,,,,,,,,,,,,
28,1996,525,male,,,,,,,,,,,,,,,,,
39,1996,210,male,,,,,,,,,,,,,,,,,
58,1996,161,male,,,,,,,,,,,,,,,,,
13,1996,390,male,,,,,,,,,,,,,,,,,
52,1996,356,male,,,,,,,,,,,,,,,,,
21,1996,390,male,,,,,,,,,,,,,,,,,
22,1996,332,female,,,,,,,,,,,,,,,,,
